Algorithm,Train_accuracy,Train_precision,Train_recall,Train_F1_Score,Validation_accuracy,Validation_precision,Validation_recall,Validation_F1_Score
Logistic Regression,0.5831739961759083,0.48966974676183733,0.5831739961759083,0.4580912352863083,0.5458015267175572,0.44982023467358934,0.5458015267175572,0.424391177220903
SGD,0.5133843212237094,0.4476898154157322,0.5133843212237094,0.4460864019787609,0.48091603053435117,0.39383374912236147,0.48091603053435117,0.4029929173224788
SVM - Gamma --> scale,0.6118546845124283,0.5386182346534775,0.6118546845124283,0.5249172076853135,0.5458015267175572,0.43813786093594426,0.5458015267175572,0.45090152945361023
SVM - Gamma --> auto,0.6118546845124283,0.5386182346534775,0.6118546845124283,0.5249172076853135,0.5458015267175572,0.43813786093594426,0.5458015267175572,0.45090152945361023
LinearSVM - Gamma --> scale,0.5860420650095602,0.5019015783957559,0.5860420650095602,0.4597311047516063,0.5458015267175572,0.44982023467358934,0.5458015267175572,0.424391177220903
KNN,0.9875717017208413,0.9877179257271118,0.9875717017208413,0.9875261133140614,0.8778625954198473,0.8804200999290647,0.8778625954198473,0.8757457208242172
Gaussian,0.5525812619502868,0.4633845500285625,0.5525812619502868,0.4837274150097544,0.4732824427480916,0.37991232375890727,0.4732824427480916,0.411528634596589
Bernouli,0.5592734225621415,0.4591856846906461,0.5592734225621415,0.4782579682197274,0.49236641221374045,0.3733050421856167,0.49236641221374045,0.4051905955175182
Tree,1.0,1.0,1.0,1.0,0.9770992366412213,0.9784179998874656,0.9770992366412213,0.9771932963394843
Random Forest,0.9980879541108987,0.9980942540973536,0.9980879541108987,0.9980866170024175,0.9618320610687023,0.9624060538182677,0.9618320610687023,0.9618595772122547
Ada Boost,0.38910133843212236,0.5167024779253031,0.38910133843212236,0.42099240851752495,0.3816793893129771,0.4970986149374943,0.3816793893129771,0.40808966812080283
Gradient Boosting,0.7428298279158699,0.7481772951305771,0.7428298279158699,0.7255530444118555,0.6755725190839694,0.67908134415768,0.6755725190839694,0.6482948823321325
XGB,0.9913957934990439,0.9914832727227283,0.9913957934990439,0.991307386072386,0.9541984732824428,0.9552201403346442,0.9541984732824428,0.9538329732258162
Cataboost,0.7275334608030593,0.7645644719090677,0.7275334608030593,0.6855409967527278,0.6335877862595419,0.6807035393297003,0.6335877862595419,0.574706461780294
LightGBM,1.0,1.0,1.0,1.0,0.9770992366412213,0.9786091770824594,0.9770992366412213,0.9772424600222667
